Monthly Rent;Expenses;Address;Area;Rooms;Unit Details;
$ 60.000;Listing has no expenses;Dunant al 1378;Moreno, GBA Oeste;25 m² tot. | 1 amb. | 1 dorm. | 1 baño;Moreno NorteDepartamento monoambiente, a estrenar en alquiler, cuenta con muebles bajo mesada y termo tanque eléctrico. Ubicación: Honduras entre Dunant y Nicaragua ref. 3678 - Todas las propiedades que figuran en esta publicación se encuentran a cargo de los profesionales matriculados comarcomgr N°71 / N°183 | C. U. C. I. C. B. A N°8496, por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por los mismos. Todas las medidas son aproximadas al solo efecto orientativo. Las fotografías y videos no son contractuales. En cumplimiento de la ley 10. 973 de la Provincia de Buenos Aires, Ley Nacional 25. 028, Ley Nacional 20. 266, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores, agentes o promotores no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte de los martilleros y corredores colegiados. ramirez Mandatos y Negocios Inmobiliarios. comarcomgr N°71 / N°183 (Hipolito Enrique Ramirez / Carolina Noelia Ramirez) C. U. C. I. C. B. A N°8496 (Hipolito Agustin Alejo Ramirez);
$ 90.000;Listing has no expenses;Irigoyen 1800 PB;Moreno, Moreno;30 m² tot. | 1 amb. | 1 baño;En alquiler departamento monoambiente en Moreno sur, sobre calle Irigoyen al 1800 entre las de Alta Gracia y Soule. Cuenta con cocina y baño completo. Todos los servicios y 2 lineas de colectivos por la puerta. Servicios: Electricidad, Pavimento, Cloacas, Gas, Teléfono, Agua Corriente, Videocable. En Nuestra página web encuentran mas alternativas acordes a tu necesidad. Llámanos al 08Ver datos. Celular (11) Ver datos. web. ar. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.;
$ 110.000;$ 10.000;Concejal armando pellico y corrientes;Paso del Rey, Moreno;55 m² tot. | 1 dorm. | 1 baño;"El depto se encuentra a una cuadra del colegio franciscano en frente de la placita del mismo nombre. Esta en primer piso lado izquierdo, sobre la calle armando concejal pellico y corrientes, Paso del Rey. Acceso por escalera (calle corrientes), cuenta con living comedor y cocina integrada; bano, lavadero en la parte trasera y su unico dormitorio. no tiene gas. Naturalno tiene cocherano se admiten mascotas ni tampoco menores. solo pareja o persona sola.";
$ 110.000;$ 20.002;Saenz Peña 1154;Moreno, GBA Oeste;40 m² tot. | 1 amb. | 1 baño;Nuevo ingreso alquiler monoambiente moreno! Ubicado sobre calle Saenz Peña al 1100. Cuenta con un solo ambiente super amplio. Con mesada y bajo mesada. Y alacena. Termotanque eléctrico. No cuenta con cochera. Servicios: agua corriente y cloacas. Energía eléctrica. No cuenta con gas natural. Es en primer piso por escaleras. Permite hasta dos personas. Sin mascotas. Valor mensual: $ 110. 000. Abona ademas expensas $22. 000. Aumento cada 6 meses según ipc. Requisitos: ️3 meses de ingreso. ️2 garantes con recibo de sueldo. ️Justificación de ingresos del inquilino. Jimena Ortiz Propiedades. Ver datos;
$ 120.000;$ 20.000;José Maria Paz al 1700;Moreno, Moreno;30 m² tot. | 2 amb. | 1 dorm. | 1 baño;Se alquila departamento de 2 ambientes para persona sola O pareja, sin mascotas Son 3 departamentos disponibles en 1° Piso, x escalera. En complejo. Características: -Cocina Comedor-1 habitación Valor Contado: $120. 000 Expensas: $20. 000 Aumentos trimestrales del 30%Inmobiliaria Sabrina Peluso (Col. 267 M-gr) Dr. Intendente Asseff 92. Moreno.;
$ 120.000;$ 5.000;Avenida Storni al 1800;La Reja, Moreno;30 m² tot. | 2 amb. | 1 dorm. | 1 baño;La RejaAv. Storni entre La Piedad y AmbatoA 800 mts de la estación de La Reja y Ruta Nº 5. A 900 mts de Acceso Oeste. -Living comedor-Cocina-Dormitorio-Baño-Balcón*Máximo para 2 personas*No se aceptan mascotas*Garantía propietaria o 2 recibos de sueldo de terceros con antigüedad*Contrato 24 meses con actualización cuatrimestral (icl índice para contratos de locación) di pascuale PropiedadesDesde 1989 innovando en el mercado inmobiliarioSeguinos en nuestras redes: @dipascualepropiedades D. J. M. G. R. Matricula Nº 41 I Nº 230;
$ 120.000;Listing has no expenses;Calle Alsina e/ Paraguay y Ecuador;Moreno, GBA Oeste;2 amb. | 1 dorm.;En Alquiler! Ultimo Departamento Disponible en el Complejo! Hermosos Departamentos Disponibles en Complejo en Moreno Lado Norte! Sobre calle Alsina e/ Paraguay y EcuadorAcceso por escalera- Living con Cocina Integrada- 1 Dormitorio- BañoValor: $ 120. 000 + Expensas + Agua + MunicipalCodigo de Referencia: 200. 204;
$ 130.000;$ 15.000;Bolivia al 2100;Moreno, GBA Oeste;30 m² tot. | 2 amb. | 1 dorm. | 1 baño;Condiciones: *Garantía propietaria de terceros / garantes con recibos de sueldo*Demostración de ingresos propia*Máximo 1 persona*No se admiten mascotasPlazo: 24 mesesActualización: Cuatrimestral Índice: icl (índice para Contratos de Locación) Moreno NorteBolivia esquina Larralde50 mts centro comercial con supermercado, carnicería, kiosco, farmacia, verduleria, química250 mts de Ruta 5800 mts del centro de Moreno-Living comedor-Cocina-Dormitorio en entrepiso-Baño-Patio (2x2) Expensas: $15. 000 (incluye agua e impuestos) di pascuale PropiedadesDesde 1989 innovando en el mercado inmobiliario D. J. M. G. R. Matricula Nº 41 I Nº 230;
$ 130.000;Listing has no expenses;Semana de Mayo al 1100;Francisco Alvarez, Moreno;30 m² tot. | 2 amb. | 1 dorm. | 1 baño;Francisco Alvarez*para 1 persona O una pareja*sin mascota**Depto. Céntrico Ubicado Sobre Semana De Mayo, 1 Dormitorio, Cocina Comedor, Baño. Zona Comercial, Colectivos, A 300 Mts. De Colegios, Plaza Y Estación. Ref. 138- Todas las propiedades que figuran en esta publicación se encuentran a cargo de los profesionales matriculados comarcomgr N°71 / N°183 | C. U. C. I. C. B. A N°8496, por lo tanto la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por los mismos. Todas las medidas son aproximadas al solo efecto orientativo. Las fotografías y videos no son contractuales. En cumplimiento de la ley 10. 973 de la Provincia de Buenos Aires, Ley Nacional 25. 028, Ley Nacional 20. 266, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los asesores, agentes o promotores no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte de los martilleros y corredores colegiados. ramirez Mandatos y Negocios Inmobiliarios. comarcomgr N°71 / N°183 (Hipolito Enrique Ramirez / Carolina Noelia Ramirez) C. U. C. I. C. B. A N°8496 (Hipolito Agustin Alejo Ramirez);
$ 140.000;$ 7.000;Sáenz Peña 1100;Paso del Rey, Moreno;43 m² tot. | 1 amb. | 1 baño;Corredor Responsable: Silvana Inés Palini cmcpm 2955 / Jorge Roca cpi 6878- Contacto: Daniel Santillán - mls id # Ver datos. Monoambiente. En Primer piso, 43m2. Divisible! Apto profesional. Ideal para showroom, despacho, consultorio o Vivienda. Se puede dividir y generar un 2 ambientes. Todo eléctrico. Recorré el tour virtual. no tiene balcón. Primer piso por escalera. Contrafrente. Expensas $10. 000 aprox. . Paso del Rey. . Requisitos: - Un mes adelantado. - Un mes de depósito. - Certificación de Ingresos. - Seguro de Caución o pago adelantado del semestre. - Ajuste semestral por indice ipc. . . Llámanos y conoce tu nuevo Hogar. Remax Argentina S. R. L. No ejerce el corretaje inmobiliario. El presente sitio web es una plataforma en donde cada oficina inmobiliaria independiente que contrata los servicios re/max puede publicar las propiedades a su cargo. Cada oficina es de propiedad y gestión independiente, por lo que Remax Argentina S. R. L no interviene en los datos de la publicación, en la operación inmobiliaria, ni en la confección y/o firma del boleto de compraventa y/o escritura y/o contrato de alquiler. En cumplimiento de las leyes vigentes que regulan el corretaje inmobiliario, Ley Nacional 25. 028, Ley 22. 802 de Lealtad Comercial, Ley 24. 240 de Defensa al Consumidor, las normas del Código Civil y Comercial de la Nación y Constitucionales, los agentes/gestores no ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario colegiado a cargo de la publicación, cuyos datos se exhiben en la presente. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.;
$ 140.000;$ 20.000;Pastorini 2200 pb;La Reja, Moreno;60 m² tot. | 2 amb. | 1 dorm. | 1 baño;En alquiler, encantador dúplex de dos ambientes en el corazón de La Reja, ubicado en la calle Pastorini 2200, a solo 50 metros de la Avenida Principal Storni. Este impecable. Cuenta con una amplia cocina comedor, un acogedor patio con parrilla y lavadero, así como un dormitorio y baño principal en la planta alta. Cochera opcional solo para moto.;
$ 140.000;Listing has no expenses;Centenario 1000 pb;Moreno, Moreno;45 m² tot. | 2 amb. | 1 dorm. | 1 baño;En alquiler departamento 2 ambientes en Moreno sur, sobre calle Centenario esquina Emilio Mitre. Cuenta con cocina comedor, baño y dormitorio, posibilidad de ingresar moto, no se permiten mascotas. Impecable! Servicios: Electricidad, Pavimento, Cloacas, Teléfono, Agua Corriente, Videocable. En Nuestra página web encuentran mas alternativas acordes a tu necesidad. Llámanos al 08Ver datos. Celular (11) Ver datos. web. ar. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.;
$ 140.000;$ 12.000;España 500;Moreno, Moreno;36 m² tot. | 2 amb. | 1 dorm. | 1 baño;Daniel Weksler Inmuebles. Departamento de 2 ambientes al frente, comedor cocina con muebles completos de bajo mesada y alacena, termotanque, espacio para lavarropas bajo mesada, baño completo y dormitorio con placard con interiores completos. Excelente estado. Primer piso por escaleras. A solo 4 cuadras de la estación de Moreno, zona del Hospital. Excelente ubicación. Expensas $12. 000 Aysa/Abl $8. 000 Seguro $3. 000;
$ 150.000;$ 15.000;España 989;Moreno, Moreno;300 m² tot. | 2 amb. | 1 dorm. | 1 baño;Departamento 2 ambientes en pb // con entrada independiente por av. España (A 200M del acceso oeste) **parada de colectivos en la puerta** composición: porch, cocina-comedor, 1 dormitorio, 1 baño Y todos los servicios. Superficie 34 M2 aprox. //no tiene cochera / no aceptan mascotas// *expensas bajas**;
$ 150.000;Listing has no expenses;Boulevard Perón 2400 pb;Moreno, Moreno;50 m² tot. | 2 amb. | 1 dorm. | 1 baño | 1 coch.;En alquiler departamento tipo ph. 2 ambientes en Moreno sur, sobre Boulevard Presidente Perón y Del Cañon. Moreno. Cuenta con entrada para auto/patio, cocina comedor, un dormitorio y baño completo.;
$ 150.000;$ 20.000;Av. Libertador al al 800;Moreno, Moreno;2 amb. | 1 dorm. | 1 baño;En Alquiler! Oportunidad! Ultimo Departamento de 2 Ambientes disponible en el Edificio! Sobre Av. Libertador al 800 - a 1 Cuadra del Hospital de MorenoDepartamento ubicado en Planta Baja: - Living con cocina Integrada- 1 Dormitorio- Baño CompletoLineas de Colectivo a tan solo 20 metros! Valor: $ 150. 000 + 20. 000Código de Referencia: 200. 135;
$ 160.000;$ 40.000;Alem 2800 2°;Moreno, Moreno;35 m² tot. | 1 amb. | 1 baño | 1 coch.;En alquiler departamento tipo monoambiente en moreno centro. El mismo se encuentra a tan solo 3 cuadras de la estación de Moreno. Sobre la calle Leandro Alem al 2800. Este cuenta con un amlio living-comedor, cocina completa, lavadero, baño y cochera cubierta. El edificio consta de doble porton electrico, sector de estacionamiento, cuatro pisos más lanta baja y terraza con parrilla. Servicios: Electricidad, Pavimento, Gas, Agua Corriente, Videocable. Otros Servicios: Terraza. En Nuestra página web encuentran mas alternativas acordes a tu necesidad. Llámanos al 08Ver datos. Celular (11) Ver datos. web. ar. La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados.;
$ 170.000;$ 35.000;Intendente Bossi 146;Moreno, Moreno;600 m² tot. | 2 amb. | 1 dorm. | 1 baño;Departamento loft (preparado para dividir en 2 ambientes) edificio vázquez ledo. primer piso - superficie aprox. 44, 53 M2. 1 dormitorio C/placard (a dividir ambiente), 1 baño completo con bañera y espacio lavarropas, cocina con barra desayunador, alacena, bajo mesada Y anafe electrico con dos hornallas, living-comedor, balcón lindo Y cómodo. No tiene cochera. Amenities: -sum con parrilla. -Pileta in-out con hidromasaje. -Baños con vestidor y duchas;
$ 180.000;Listing has no expenses;Aristobulo del Valle;Moreno, Moreno;55 m² tot. | 3 amb. | 2 dorm. | 1 baño;Oportunidad | Nuevo en Alquiler! Importante Departamento de 2 Dormitorios en Moreno Centro (Lado Sur) Sobre calle Asconape y Aristobulo del Valle Características: - Amplio Living - Comedor - Cocina - 2 Dormitorios (Para entrar al segundo, hay que pasar por el primero) - BañoSe alquila sin Amoblar! Valor: $ 180. 000 + ExpensasCodigo de Referencia: 200. 190;
$ 180.000;$ 10.000;sarmiento 685;Moreno, Moreno;80 m² tot. | 3 amb. | 1 baño;Departamento en alquiler en Moreno. Sarmiento 600, entre Venezuela y Guatemala. Zona residencial, muy tranquila. 3 ambientes, ubicado en primer piso por escalera. Cuenta con: Lavadero con termo a Gas, y conexión de lavarropas. Cocina comedor, con muebles bajo mesada, alacenas, barra desayunador. En planta alta, 2 dormitorios, uno de ellos con placard, y Baño completo. Bajas expensas. No cuenta con cochera. No acepta mascotas. Ajustes trimestrales por icl;
